@relation 'nutch_acdc_prediction_change - Copy-weka.filters.unsupervised.attribute.Remove-R1,5-7-weka.filters.supervised.instance.SMOTE-C2-K5-P4157.0-S1-weka.filters.supervised.instance.SMOTE-C3-K3-P7350.0-S1-weka.filters.unsupervised.attribute.Reorder-R1,4,5,6,2,7,3-weka.filters.unsupervised.instance.Resample-S1-Z1666.0'

@attribute Label {a,b,c}
@attribute Logical_Dependency numeric
@attribute Link_Overload numeric
@attribute Unused_Interface numeric
@attribute Brick_Functionality_Overload numeric
@attribute Clone_comp numeric
@attribute Sloopy_Delegation numeric

@data
b,0,0,0,0,0,1
c,0,0,0,0,0,1
a,0,0,0,0,0,0
c,0,0,0,0.25972,0,0.808527
a,0,0,0,0,0,0
c,0,0,0,0,0,1
c,0,0,0,0.239209,0,0.154999
c,0,0,0,0.473791,0,0.255528
b,0,0,0,0.099076,0,1
b,0,0,0,0,0,1
b,0,0,0,0.596906,0,0.290518
b,0,0,0,0.854061,0,1
b,0,0,0,0,0,1
c,0,0,0,0,0,1
b,0,0,0,0,0,1
b,0,0,0,0,0,1
b,0,0,0,0.545782,0,1
c,0,0,0,0.930418,0,0.365841
a,0,0,0,0,0,0
c,0,0,0,0,0,1
b,0,0,0,1,0,0.842534
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
b,0,0,0,0.704509,0,1
a,0,0,0,0,0,0
a,0,0,0,1,0,0
c,0,0,0,0.355696,0,0.530214
a,0,0,0,0,0,1
c,0,0,0,0.930732,0,0.109163
a,0,0,0,0,0,0
b,0,0,0,1,0,0.647087
c,0,0,0,0.886214,0,0.359298
c,0,0,0,0.011522,0,0.002083
b,0,0,0,0.813478,0,1
c,0,0,0,0.471386,0,0.728138
a,0,0,0,0,0,1
a,0,0,0,0,0,1
c,0,0,0,0.623739,0,0.507178
c,0,0,0,0,0,1
c,0,0,0,0.196066,0,0.737762
c,0,0,0,0,0,1
a,0,0,0,0,0,0
b,0,0,0,0.983103,0,1
b,0,0,0,0.978261,0,1
c,0,0,0,0,0,1
c,0,0,0,0,0,1
b,0,0,0,0,0,1
