@relation 'camel_acdc_prediction_change (version 1) _new - Copy-weka.filters.unsupervised.attribute.Remove-R1,9-10-weka.filters.supervised.instance.SMOTE-C2-K5-P3317.0-S1-weka.filters.supervised.instance.SMOTE-C3-K5-P38714.0-S1-weka.filters.unsupervised.attribute.Reorder-R1,6,2,3,4,7,5-weka.filters.unsupervised.instance.Resample-S1-Z30.0-weka.filters.unsupervised.instance.Resample-S1-Z20.0'

@attribute label {a,b,c}
@attribute Logical_Dependency numeric
@attribute Link_Overload numeric
@attribute Unused_Interface numeric
@attribute Brick_Functionality_Overload numeric
@attribute Clone_Comp numeric
@attribute Sloopy_Delegation numeric

@data
c,0,1,0,1,0,0
a,1,0,0,0,0,1
b,0,1,0,1,0,1
a,0,1,0,1,0,0
c,0,0.580241,0,1,0,1
a,0,1,0,1,0,1
c,1,0,0,1,1,1
a,0,0,0,0,0,0
a,0,1,0,0,0,0
c,0.351295,0,0,0.032224,0,0
b,0,1,0,0.235724,0,1
a,0,1,0,1,0,0
a,0,0,0,0,0,0
a,1,1,0,1,1,0
a,0,0,0,0,0,0
b,0,1,0,0,0,1
a,0,0,0,0,0,0
c,0,0.670874,0,0,0,0
a,0,0,0,0,0,0
c,0,0,0,0.355696,0,0.530214
c,0,0,0,0,0,1
a,0,0,0,0,0,1
c,0,1,0,1,0,1
a,0,1,0,1,0,0
c,0,0,0,0,0,1
a,0,0,0,0,0,1
b,0,1,0,1,0,0
a,0,0,0,1,0,0
b,1,0,0,0,0,1
c,0,0.953801,0,0,0,0
c,1,0,0,0.216872,1,1
c,0,1,0,1,0,1
b,0,1,0,0,0,0.269661
b,1,0,0,1,1,1
c,0,1,0,1,0,1
c,0,1,0,1,0,1
a,0,1,0,1,0,0
a,0,0,0,0,0,0
a,0,1,0,1,0,1
c,0,0,0,1,0,1
c,0.958562,0.489997,0,0,0.716378,0.331162
b,0,1,0,1,0,1
b,0,0.897176,0,0,0,0
a,0,1,0,0,0,1
c,1,0,0,1,1,1
a,0,0,0,0,0,1
a,0,1,0,0,1,1
b,0,0,0,0,0,1
a,0,0,0,1,0,0
b,1,0.566254,0,1,0,0
b,0,1,0,0,0,1
c,0,1,0,1,0,1
a,0,1,0,1,0,1
c,0.995377,0,0,0.403094,0,0
c,1,1,0,0,0,1
b,1,0,0,0,1,0.936569
a,0,1,0,0,0,0
a,0,0,0,0,0,0
b,0,1,0,1,0,0
a,0,0,0,0,1,0
b,0,0,0,0,0,0
c,0,1,0,1,0,1
c,0,0,0,0,0,1
a,0,0,0,0,0,0
a,0,1,0,1,0,1
c,1,0,0,1,0,1
a,0,0,0,1,0,1
a,0,0,0,0,0,0
a,0,0,0,0,0,1
b,0,1,0,1,0,1
b,0,0,0,0.502859,0,1
a,0,0,0,0,0,0
c,0,0,0,1,0,1
b,0,0,0,0,0,0
a,0,0,0,0,0,1
a,0,0,0,0,0,0
a,0,1,0,0,0,0
b,0,1,0,0,0,0
c,0,1,0,1,0,1
c,0,0,0,1,0,1
c,1,0.423019,0,1,0.126926,0
b,0,1,0,1,0,0
a,0,0,0,0,0,0
c,0.068932,1,0,0.595256,0.018127,0
b,0,1,0,0,0,0
a,0,0,0,0,0,1
c,1,1,0.930326,1,0,0
c,0,1,0,1,0,1
b,0,0,0,0,0,1
a,0,0,0,0,0,1
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,1
a,0,0,0,0,0,0
a,1,1,0,1,0,0
b,1,0.778696,0,0.045638,0.601489,0
c,0,0,0,0,0,1
b,1,0,0,1,1,0
b,0,1,0,0,0,1
a,0,0,0,0,0,0
c,0,0,0,0,0,1
b,0,1,0,1,0,0
a,0,0,0,0,0,0
c,0,1,0,1,0,1
c,0,1,0,1,0,1
b,0,0,0,0,0,1
a,0,0,0,0,0,1
c,0.509587,0.483253,0.675927,0.873289,0,0
c,1,0,0,1,1,1
c,0,0.48006,0,0,0,0
c,0,0,0,0.138054,0,0.216703
c,0,0,0,0,0,1
c,0,1,0,1,0,1
c,0,0,0,0,0,1
b,0,0,0,0,0,1
c,0.237499,0,0,0.940765,0,0
c,0,0,0,1,0,1
a,0,0,0,0,0,1
a,0,0,0,0,0,0
c,1,0,0,1,0.210362,0
b,0,0,0,1,0,1
b,1,0,0,1,1,0
c,0,0,0,0.833772,0,0.744284
a,0,0,0,0,0,1
a,0,0,0,0,0,0
b,0,0,0,0,0,1
b,1,0,0,1,1,0
a,0,0,0,0,0,0
b,0,0.094468,0,0,0,0
c,0,0,0,0.364004,0,0.260087
b,0,0.92952,0,0,0,0
b,0,1,0,1,0,1
a,0,0,0,0,0,0
c,1,1,0,1,1,0
c,0,0,0,0,0,0.436488
c,1,1,0,1,1,0
a,0,1,0,0,0,1
a,1,0,0,0,1,1
c,1,0.668517,0,0.293713,0,1
a,0,0,0,0,0,0
b,0,0,0,0,0,0
b,1,0,0,1,0,0.76823
b,0,0,0,0,0,1
c,0,1,0,1,0,1
c,0,0.830298,0,0,0,0
b,1,0,0,1,1,1
b,0.478619,0,0,0,0,0
a,0,0,0,0,0,1
c,0,0,0,0,0,1
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
c,1,0,0,1,1,1
b,0,0,0,0.614526,0,1
b,0,0,0,0.094364,0,0.975958
c,0.622901,0.418815,0.357235,0.524271,0,0
a,0,0,0,0,0,0
c,1,0.11191,0,0.698514,0,0.373345
a,0,0,0,0,0,0
a,0,0,0,0,0,0
b,0,0,0,0,0,0
a,1,1,0,1,0,0
c,1,0,0,0.129111,1,1
c,0,1,0,0.600928,0,1
b,0,0,0,0,0,1
b,1,1,0,0.387471,0,0
c,0,1,0,1,0,1
b,0,0,0,0,0,1
c,1,0.107066,0,0.898315,1,0.572568
b,0.633834,1,0,0,0,1
b,1,0,0,0,1,0
c,0,0,0,0.305062,0,0.315307
b,0,1,0,1,0,1
a,0,0,0,0,1,0
