@relation 'cfx_arc_prediction_change-weka.filters.unsupervised.attribute.Remove-R1,11-12-weka.filters.supervised.instance.SMOTE-C3-K5-P7000.0-S1-weka.filters.supervised.instance.SMOTE-C2-K5-P1600.0-S1-weka.filters.unsupervised.attribute.Add-NDependency_Cycle-C10-W1.0-weka.filters.unsupervised.attribute.Reorder-R1,3,2,4-last-weka.filters.unsupervised.instance.Resample-S1-Z15.0'

@attribute Label {a,b,c}
@attribute Logical_Dependency numeric
@attribute Concern_Overload numeric
@attribute Link_Overload numeric
@attribute Scattered_Parasitic_Functionality numeric
@attribute Unused_Interface numeric
@attribute Brick_Functionality_Overload numeric
@attribute Clone_Comp numeric
@attribute Sloopy_Delegation numeric
@attribute Dependency_Cycle numeric

@data
b,0,0,1,0,0,0,0,0,0
b,0,0,0,0,0,0,0,0,0
c,0,0,0,0,0,0,0,0,0
c,0.637447,0,1,0,0,0.58958,1,0,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
c,1,0,1,0,0,1,1,1,0
c,0,0,0.127768,0,0,0,0,0,0
c,1,0,1,0,0,1,1,0,0
b,0,0,0,0.980364,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
a,0,0,1,0,0,0,0,0,0
c,1,0,0,0,0,0,0,0.698353,0
c,1,0,1,0,0,1,1,0,0
c,1,0,1,0,0,1,1,0.308376,0
a,0,0,1,0,0,0,0,0,0
b,0,0,1,0,0,0,0,0,0
c,1,0,1,0,0,1,1,0,0
c,1,0,1,0,0,1,1,0,0
c,0,0,0,0,0,0,0.118266,0,0
c,0,0,0.287195,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
a,0,0,1,0,0,0,0,0,0
c,0,0,0,0,0,0,0.667316,0,0
c,1,0,0,0,0,0,0,0.692692,0
a,0,0,0,0,0,0,0,0,0
c,1,1,1,0,0,1,1,0,0
b,1,0,1,0,0,1,1,1,0
b,0,0,0,0,0,0,0,0,0
c,0.99055,0,0,0,0,0,0,0,0
a,0,0,1,0,0,0,0,0,0
c,1,0,1,0,0,1,1,1,0
b,0,0,1,0.580219,0,0,0,0,0
a,1,0,0,0,0,0,0,0,0
c,1,0,0,0,0,0,0,0,0
b,1,0,1,0,0,1,1,0,0
c,0.263093,0,0,0,0,0,0,0,0
b,0,0,1,0,0,0,1,0,0
c,1,0,1,0,0,1,1,0,0
a,0,0,0,0,0,0,0,0,0
a,1,0,1,0,0,1,0,0,0
b,0,1,0,0,0,0,0,1,0
a,1,0,1,0,0,1,0,0,0
a,0,0,0,0,0,0,0,0,0
a,1,0,1,0,0,1,0,0,0
c,0.780346,0,0,0,0,0,0,0,0
c,1,0,1,0,0,1,1,0,0
b,0,0,0.187529,0,0,0,1,0,0
a,0,0,0,0,0,0,0,0,0
c,1,0,1,0,0,1,1,0,0
a,0,0,1,0,0,0,0,0,0
c,0,0,0.44376,0,0,0,0,0,0
c,0.040044,0,0,0,0,0,0,0.122062,0
c,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,0,0
c,0,0,0,0,0,0,0,0,0
c,1,0,1,0,0,1,1,0,0
a,0,0,0,0,0,0,0,0,0
b,0.941689,0,1,0,0,0,0,0,0
b,1,0,1,0,0,1,0,0,0
a,0,0,0,0,0,0,0,0,0
b,1,0,1,0,0,1,0,0,0
a,1,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,0,0
c,0,0,0,0,0,0,0,0,0
b,1,0,1,0,0,1,1,0,0
c,1,0,1,0,0,1,0.757998,0,0
c,1,1,1,0,0,1,1,0,0
a,0,0,0,0,0,0,0,0,0
c,1,0,1,0,0,1,1,0.382883,0
c,0,0,1,0,0,0,0.769243,0,0
b,1,0,1,0,0,1,1,0,0
a,0,0,0,0,0,0,0,0,0
b,1,0,1,0,0,1,1,0,0
a,1,0,1,0,0,1,0,0,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
a,0,0,1,0,0,0,0,0,0
b,0,0,1,0,0,0,0.524515,0,0
a,1,0,1,0,0,1,0,0,0
b,0,0,1,0,0,0,0,0,0
b,1,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
b,1,0,1,0,0,1,1,0,0
a,1,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,0,0
c,1,0.643505,1,0,0,1,1,0,0
b,0,0,1,0,0,0,0,0,0
c,1,0,1,0,0,1,1,1,0
c,0,0.178556,0,0,0,0,0,0,0
c,0,0,0,0,0,0,0,0,0
b,1,0,0.932682,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
b,1,0,1,0,0,1,0,0,0
c,0,0,0,0,0,0,0,0,0
c,1,1,1,0,0,1,1,0.238993,0
b,0,0,0,0,0,0,0.419901,0,0
a,0,0,0,0,0,0,0,0,0
c,0,0,0.831361,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
a,0,0,1,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
b,1,0,1,0,0,1,1,0.780788,0
c,1,0,1,0,0,1,0.861472,0,0
a,0,0,0,0,0,0,0,0,0
a,0,0,1,0,0,0,0,0,0
b,1,0,1,0,0,1,0,0,0
b,0,0,1,0,0,0,0,0,0
c,0,0.37586,0,0,0,0,0,0,0
b,0,0,1,0,0,0,0,0,0
b,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,0,0
b,0,0,1,0.481977,0,0,0,0,0
a,0,0,1,0,0,0,0,0,0
b,1,0,1,0,0,1,0,0,0
c,1,0,1,0,0,1,1,0.57595,0
c,1,0,1,0,0,1,1,0.741069,0
c,1,0,1,0,0,1,1,0,0
a,0,0,0,0,0,0,0,0,0
c,1,0,1,0,0,1,1,0,0
b,0,0,0,0,0,0,0,0,0
b,0,0,1,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
b,1,0,1,0,0,1,1,1,0
a,0,0,1,0,0,0,0,0,0
b,0,0,0,0,0,0,0,0,0
b,0,0,1,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
b,1,0,1,0,0,1,1,0,0
b,1,0,1,0,0,1,1,1,0
c,0,0,0.730141,0,0,0,0,0,0
c,1,0,1,0,0,1,1,0,0
c,0.303004,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
b,1,0,0.358003,0,0,0,0,1,0
b,1,0,1,0,0,1,0,0,0
a,0,0,0,0,0,0,0,0,0
c,0,0,0.079655,0,0,0,1,0,0
b,0,0,1,0,0,0,0,0,0
b,1,0,1,0,0,1,0,0,0
a,0,0,1,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
c,1,0,1,0,0,1,1,0.437332,0
c,1,0,1,0,0,1,1,0,0
a,1,0,1,0,0,1,0,0,0
a,0,0,1,0,0,0,0,0,0
b,0,0,1,0,0,0,0.890837,0,0
c,1,0,1,0,0,1,0.682089,0,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
b,1,0,1,0,0,1,1,0,0
a,0,0,0,0,0,0,0,0,0
c,0,0,0.03245,0,0,0,0,0,0
b,0,0,0,0,0,0,0,0,0
c,1,0,1,0,0,1,1,0.125621,0
a,0,0,0,0,0,0,0,0,0
c,0,0.763452,0,0,0,0,0.675599,0,0
c,0,0,0.521039,0,0,0,0.433401,0,0
a,1,0,1,0,0,1,0,0,0
b,0,0,0,0,0,0,0,0,0
b,1,0,1,0,0,1,1,0,0
c,0,0,0,0,0,0,0,0,0
c,0,0,0,0,0,0,0.392694,0,0
c,1,0,1,0,0,1,1,1,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
b,0,0,1,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,0,0
b,0,0,1,0,0,0,0,0,0
b,1,0,1,0,0,1,1,0,0
b,1,1,0.670488,0,0,0,0,0,0
b,1,0.484115,1,0,0,0,1,0,0
b,1,0,1,0,0,1,0,0,0
a,0,0,0,0,0,0,0,0,0
a,0,0,1,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
c,0,0,0,0,0,0,0.973924,0,0
b,0,0,1,0,0,0,0,0,0
b,1,0,1,0,0,1,1,0,0
a,1,0,1,0,0,1,0,0,0
b,0,1,0,0,0,0,0,0.740035,0
c,1,0,1,0,0,1,0.680138,0,0
c,1,1,1,0,0,1,1,0,0
a,0,0,0,0,0,0,0,0,0
a,1,0,1,0,0,1,1,0,0
a,0,0,0,0,0,0,0,0,0
c,1,0,0,0,0,0,0,0.416279,0
a,1,0,1,0,0,1,0,0,0
a,0,0,1,0,0,0,0,0,0
a,0,0,1,0,0,0,0,0,0
c,1,0,1,0,0,1,1,0,0
b,0,0,0,0,0,0,0,0.278784,0
a,0,0,1,0,0,0,0,0,0
b,1,0,1,0,0,1,1,1,0
b,0,0,0,0,0,0,1,0,0
c,1,1,1,0,0,1,1,0,0
a,0,0,0,0,0,0,0,0,0
b,0,0,1,0,0,0,0,0,0
b,0,0,1,0,0,0,0,0,0
a,1,0,1,0,0,1,0,0,0
a,1,0,1,0,0,1,1,0,0
c,1,0.150383,1,0,0,1,1,0,0
a,0,0,0,0,0,0,0,0,0
c,0.745271,0,0,0,0,0,0,0.278145,0
a,0,1,0,0,0,0,0,0,0
b,1,0,1,0,0,1,1,0,0
a,0,0,0,0,0,0,0,0,0
c,0,0.546747,0,0,0,0,0,0,0
c,0.99055,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,0,0
b,0,0.207652,0,0,0,0,0,0,0
b,1,0,1,0,0,1,0,0,0
c,0,0.26547,0,0,0,0,0,0,0
c,0.852904,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
b,0,1,0,0,0,0,0,0,0
a,1,0,1,0,0,1,0,0,0
a,0,0,1,0,0,0,0,0,0
b,1,0,1,0,0,1,1,1,0
b,1,0,0,0,0,0,0,0,0
c,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
c,1,0,0,0,0,0,0,1,0
b,1,0,1,0,0,1,0,0,0
b,0,0,1,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
b,1,0,1,0,0,1,1,0,0
c,1,1,1,0,0,1,1,0,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
b,0,0,1,0,0,0,0,0,0
a,1,0,1,0,0,1,0,0,0
a,0,0,0,0,0,0,0,0,0
a,1,0,1,0,0,1,1,1,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
c,1,0,0,0,0,0,0,0.409486,0
b,1,0,0,0,0,0,0,0,0
c,1,0,0,0,0,0,0,0,0
c,0.26928,0,0,0,0,0,0,0.637287,0
c,1,0,1,0,0,1,1,0,0
a,0,0,0,0,0,0,0,0,0
c,1,0,1,0,0,1,1,1,0
a,0,0,1,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
b,1,0,1,0,0,1,1,0,0
c,1,0,1,0,0,1,1,0.880236,0
b,0,0,0,0,0,0,0,0,0
c,1,0,1,0,0,1,0.793987,0,0
a,0,0,1,0,0,0,0,0,0
a,1,0,1,0,0,1,0,0,0
b,1,0.834574,1,0,0,0,0,0,0
b,0,0,0.26,0,0,0,1,0,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,0,0
