@relation 'openjpa_pkg_prediction_change-weka.filters.unsupervised.attribute.Remove-R1-2,8-10-weka.filters.supervised.instance.SMOTE-C2-K5-P4966.0-S1-weka.filters.supervised.instance.SMOTE-C3-K5-P5427.0-S1-weka.filters.unsupervised.attribute.Add-NClone_Comp-C5-W1.0-weka.filters.unsupervised.attribute.Add-NLogical_Dependency-C2-W1.0-weka.filters.unsupervised.instance.Resample-S1-Z50.0'

@attribute Label {a,b,c}
@attribute Logical_Dependency numeric
@attribute Link_Overload numeric
@attribute Unused_Interface numeric
@attribute Brick_Functionality_Overload numeric
@attribute Clone_Comp numeric
@attribute Sloopy_Delegation numeric

@data
c,0,0.63336,0,0,0,1
c,0,1,0,1,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,1,0,0,0,1
b,0,0.089435,0,0,0,0
c,0,0.316073,0,0,0,1
c,0,1,0,1,0,0.736577
b,0,1,0,1,0,1
c,0,1,0,0.407246,0,0.913747
c,0,1,0,0,0,1
a,0,1,0,0,0,1
c,0,1,0,0,0,1
a,0,1,0,1,0,1
c,0,1,0,1,0,0.592183
a,0,1,0,1,0,1
b,0,1,0,0,0,0
b,0,1,0,0.70602,0,0
a,0,1,0,0,0,0
a,0,0,0,0,0,0
c,0,1,0,0,0,1
c,0,1,0,0,0,1
c,0,1,0,1,0,1
a,0,1,0,0,0,1
b,0,0.389131,0,0,0,0
b,0,0.35718,0,0,0,0.600708
a,0,1,0,1,0,0
b,0,1,0,0,0,1
b,0,1,0,0.2785,0,0
b,0,1,0,0.21883,0,0
a,0,0,0,1,0,1
c,0,1,0,1,0,1
b,0,0.089435,0,0,0,0
b,0,1,0,1,0,0
a,0,0,0,0,0,0
c,0,0.684823,0,0,0,1
b,0,1,0,0,0,0.707614
b,0,1,0,1,0,1
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
c,0,1,0,0.40419,0,1
b,0,1,0,0,0,1
b,0,0.123542,0,0,0,0
c,0,1,0,0.676004,0,1
c,0,1,0,0,0,1
b,0,0,0,0,0,0
b,0,1,0,0.9764,0,0
b,0,0.725441,0,0,0,0
b,0,1,0,1,0,0
c,0,1,0,1,0,0.387586
b,0,1,0,1,0,0
c,0,1,0,0.957702,0,1
a,0,0,0,0,0,1
b,0,1,0,0.647709,0,0
a,0,0,0,0,0,1
c,0,0.96039,0,0,0,1
b,0,0.926396,0,0,0,0
b,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,1,0,0
a,0,0,0,0,0,1
a,0,0,0,0,0,0
b,0,1,0,0.267477,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,1
b,0,1,0,0.779669,0,1
c,0,1,0,0,0,1
a,0,0,0,0,0,0
a,0,0,0,0,0,0
b,0,0.923127,0,0,0,0.201627
b,0,1,0,0.810931,0,0
c,0,0,0,0,0,1
c,0,1,0,1,0,0.295226
a,0,1,0,0,0,1
b,0,1,0,0.70602,0,0
a,0,0,0,0,0,1
c,0,1,0,1,0,1
b,0,1,0,0,0,0
c,0,1,0,1,0,1
a,0,1,0,0,0,0
c,0,0.850945,0,0,0,1
b,0,1,0,1,0,1
c,0,1,0,0,0,1
a,0,0,0,0,0,0
b,0,1,0,0,0,0.054595
a,0,0,0,0,0,0
