@relation 'cfx_pkg_prediction_change-weka.filters.unsupervised.attribute.Remove-R1,9-11-weka.filters.supervised.instance.SMOTE-C2-K5-P896.0-S1-weka.filters.supervised.instance.SMOTE-C3-K5-P2708.0-S1-weka.filters.unsupervised.instance.Resample-S1-Z17.5'

@attribute Label {a,b,c}
@attribute Logical_Dependency numeric
@attribute Link_Overload numeric
@attribute Unused_Interface numeric
@attribute Brick_Functionality_Overload numeric
@attribute Clone_Comp numeric
@attribute Sloopy_Delegation numeric

@data
b,1,1,0,0,0,0
c,0,1,0,1,0.676536,0
c,1,1,0,0,0,0.990694
c,0.542597,1,0,0,0,1
c,1,0.684142,0,1,1,0
c,1,1,0,0.879148,0,1
c,0,0,0,0,1,0
c,1,1,0,0,0,0
a,0,1,0,0,0,0
b,0,0.207713,0,0,0,1
c,0,0,0,0,0,0
c,1,1,0,0,0,0.890063
b,0,0,0,0,0,1
b,0,0,0,0,0,0
a,0,0,0,0,0,0
b,0,0,0,0,0,0
b,1,0,0,0,0,0
c,0,0,0,0,0,0
c,1,1,0,1,1,0
b,1,0,0,1,1,0
b,0,0,0,0,0,0
c,1,1,0,0,1,1
c,0.111605,1,0,1,0,0
c,0,1,0,0.620573,1,0
b,1,1,0,1,1,0
c,0,1,0,1,0,0
b,0,0,0,0,0,0
c,1,1,0,1,0,0
c,0,1,0,0,1,0
b,1,1,0,1,1,0
c,0,1,0,0,0,0.196915
a,0,0,0,0,0,0
b,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
b,0,0,0,0,0,0
c,1,1,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
b,0,1,0,0,0,0
b,0,0,0,0,0,0
c,1,1,0,0,1,0
c,1,1,0,0,0,0
b,1,1,0,1,0,0
c,1,1,0,0,0,0
c,0,0,0,0,1,0
a,0,0,0,0,0,0
c,1,1,0,0.631804,0,1
b,0,0,0,0,0,0
b,1,1,0,1,1,0
c,0,0,0,0,1,0
c,1,1,0,1,0.693586,0
b,1,0,0,0,0,0
a,0,0,0,0,0,0
b,0,0,0,0,0.51585,0
b,0,1,0,0,0,0.868338
b,0,0,0,0,0,0
c,0.482142,0,0,0,1,0
c,0,1,0,0,0,0
b,0,1,0,1,0,0
c,0,1,0,1,0,0
b,0,1,0,0,1,0
a,0,0,0,0,0,0
c,0,0,0,0,0.736868,0
b,0,1,0,0,0,0
b,0,0,0,0,0,0
