@relation 'openjpa_arc_prediction_change-weka.filters.unsupervised.attribute.Remove-R1-2,8-9-weka.filters.supervised.instance.SMOTE-C2-K5-P4983.0-S1-weka.filters.supervised.instance.SMOTE-C3-K5-P5445.0-S1-weka.filters.unsupervised.instance.Resample-S1-Z50.0-weka.filters.unsupervised.attribute.Add-NLogical_Dependency-C2-W1.0-weka.filters.unsupervised.attribute.Add-NClone_Comp-C5-W1.0'

@attribute Label {a,b,c}
@attribute Logical_Dependency numeric
@attribute Link_Overload numeric
@attribute Unused_Interface numeric
@attribute Clone_Comp numeric
@attribute Brick_Functionality_Overload numeric
@attribute Sloopy_Delegation numeric

@data
b,0,1,0,0,0.059856,1
a,0,1,0,0,1,0
b,0,1,0,0,1,0.829599
c,0,1,0,0,1,1
b,0,1,0,0,1,0
a,0,0,0,0,0,1
c,0,1,0,0,1,1
c,0,1,0,0,0.706619,1
c,0,1,0,0,1,0.278304
a,0,1,0,0,0,0
a,0,1,0,0,1,1
a,0,1,0,0,1,0
b,0,1,0,0,1,1
c,0,1,0,0,1,1
c,0,1,0,0,1,0.803857
c,0,1,0,0,1,0.387586
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
c,0,1,0,0,1,1
b,0,0.016537,0,0,0,0
a,0,0,0,0,0,0
b,0,1,0,0,0.174157,0
c,0,1,0,0,1,1
a,0,1,0,0,0,0
c,0,1,0,0,1,1
c,0,1,0,0,1,1
a,0,1,0,0,1,1
c,0,1,0,0,0.77817,1
a,0,0,0,0,0,1
a,0,0,0,0,0,0
c,0,1,0,0,1,1
b,0,1,0,0,1,0
c,0,1,0,0,0.089924,1
c,0,1,0,0,1,1
a,0,1,0,0,0,0
a,0,0,0,0,0,0
b,0,1,0,0,0,0.203232
a,0,1,0,0,1,0
c,0,1,0,0,0.572732,1
b,0,1,0,0,1,1
a,0,1,0,0,0,1
a,0,1,0,0,1,1
b,0,1,0,0,0.462474,0
b,0,0.897796,0,0,0.09652,0
c,0,1,0,0,1,0.075166
b,0,1,0,0,1,1
c,0,1,0,0,1,1
a,0,1,0,0,1,1
a,0,0,0,0,1,1
a,0,1,0,0,0,1
b,0,1,0,0,1,0
a,0,1,0,0,1,1
b,0,0.740516,0,0,0.267134,0
c,0,1,0,0,1,1
c,0,1,0,0,1,1
b,0,1,0,0,0.191759,1
a,0,0,0,0,0,0
c,0,1,0,0,1,1
c,0,1,0,0,1,1
b,0,0.166916,0,0,0,0.894897
a,0,1,0,0,1,1
c,0,1,0,0,1,0.009087
b,0,1,0,0,1,0.338525
c,0,1,0,0,1,1
c,0,1,0,0,1,1
a,0,1,0,0,1,0
a,0,0,0,0,0,0
c,0,1,0,0,1,1
a,0,0,0,0,0,0
b,0,1,0,0,1,0
c,0,1,0,0,1,0.368645
a,0,0,0,0,0,0
b,0,1,0,0,1,1
a,0,0,0,0,0,1
a,0,0,0,0,0,0
a,0,1,0,0,1,0
c,0,1,0,0,1,1
c,0,1,0,0,0,1
c,0,1,0,0,1,1
c,0,1,0,0,1,1
b,0,0,0,0,0,0
c,0,1,0,0,1,1
c,0,1,0,0,1,1
a,0,0,0,0,0,1
a,0,0,0,0,1,0
b,0,1,0,0,1,1
b,0,1,0,0,0.097782,0
c,0,1,0,0,1,1
c,0,1,0,0,1,1
c,0,1,0,0,1,0.456939
a,0,0,0,0,0,0
b,0,1,0,0,1,1
b,0,1,0,0,1,0.947709
b,0,1,0,0,1,1
b,0,1,0,0,1,0
a,0,1,0,0,0,1
a,0,0,0,0,0,0
b,0,0.163463,0,0,0,0.603653
a,0,1,0,0,1,0
c,0,1,0,0,1,0.503565
a,0,1,0,0,1,1
b,0,1,0,0,1,0.697465
c,0,1,0,0,1,1
a,0,0,0,0,0,0
a,0,0,0,0,0,0
c,0,1,0,0,1,1
a,0,0,0,0,0,0
b,0,1,0,0,1,0
c,0,1,0,0,0.680522,1
c,0,1,0,0,0.020266,1
a,0,0,0,0,0,0
c,0,1,0,0,1,1
a,0,0,0,0,0,1
a,0,0,0,0,0,0
b,0,1,0,0,1,0.644552
c,0,1,0,0,1,0.497208
a,0,1,0,0,1,1
a,0,0,0,0,0,0
a,0,1,0,0,1,0
c,0,1,0,0,1,1
b,0,1,0,0,1,0.616663
c,0,1,0,0,1,1
c,0,1,0,0,1,1
