@relation 'wicket_pkg_prediction_change_new-weka.filters.unsupervised.attribute.Remove-R1-2,7-9-weka.filters.supervised.instance.SMOTE-C3-K5-P12758.0-S1-weka.filters.supervised.instance.SMOTE-C2-K5-P1985.0-S1-weka.filters.unsupervised.attribute.Add-NLogical_Dependency-C2-W1.0-weka.filters.unsupervised.attribute.Add-NUnused_Interface-C4-W1.0-weka.filters.unsupervised.attribute.Add-NClone_comp-C6-W1.0-weka.filters.unsupervised.instance.Resample-S1-Z20.0'

@attribute Label {a,b,c}
@attribute Logical_Dependency numeric
@attribute Link_Overload numeric
@attribute Unused_Interface numeric
@attribute Brick_Functionality_Overload numeric
@attribute Clone_comp numeric
@attribute Sloopy_Delegation numeric

@data
a,0,1,0,1,0,1
c,0,1,0,1,0,1
b,0,0,0,0,0,0
b,0,0,0,0,0,0
c,0,1,0,1,0,1
c,0,1,0,0,0,0.146367
c,0,0.611164,0,0.617964,0,0.378455
c,0,1,0,0.84264,0,1
b,0,0,0,0,0,1
c,0,1,0,1,0,1
a,0,1,0,0,0,0
b,0,1,0,0,0,1
b,0,0,0,0,0,0
c,0,1,0,1,0,1
c,0,1,0,1,0,1
a,0,0,0,0,0,0
a,0,0,0,0,0,0
c,0,1,0,1,0,1
c,0,1,0,1,0,1
a,0,0,0,0,0,0
c,0,1,0,1,0,0.415948
c,0,1,0,1,0,1
a,0,1,0,1,0,1
b,0,0,0,0,0,0
b,0,1,0,1,0,0
c,0,1,0,0,0,1
a,0,0,0,0,0,1
c,0,1,0,1,0,1
c,0,0.285743,0,0.303666,0,0.317872
a,0,0,0,0,0,1
a,0,0,0,0,0,0
b,0,1,0,1,0,1
c,0,1,0,1,0,1
c,0,1,0,0.546372,0,1
c,0,1,0,1,0,1
c,0,1,0,1,0,1
a,0,0,0,0,0,1
a,0,1,0,1,0,1
c,0,0.9511,0,0,0,0.164841
c,0,1,0,1,0,1
a,0,0,0,0,0,0
c,0,1,0,1,0,1
c,0,1,0,1,0,1
a,0,0,0,0,0,0
a,0,0,0,0,0,0
b,0,0,0,0,0,0
c,0,1,0,1,0,1
b,0,1,0,0,0,0
a,0,0,0,0,0,1
a,0,0,0,0,0,0
c,0,1,0,1,0,0.566053
b,0,0,0,0,0,0
b,0,1,0,0,0,0
b,0,0,0,0,0,0
b,0,0,0,0,0,0
b,0,0,0,0,0,1
b,0,0,0,0,0,0
c,0,0.58819,0,0,0,0
c,0,1,0,0.795177,0,1
b,0,0,0,0,0,0
c,0,0.246403,0,0,0,0.252182
c,0,0.689169,0,0,0,0.464581
a,0,0,0,1,0,0
b,0,0,0,0,0,1
b,0,1,0,1,0,1
c,0,1,0,1,0,1
c,0,1,0,1,0,1
b,0,0,0,0,0,0
b,0,0.596044,0,0,0,0
c,0,1,0,0.3663,0,1
a,0,0,0,0,0,1
b,0,1,0,1,0,1
b,0,0,0,0,0,0
c,0,1,0,0.525612,0,1
c,0,1,0,1,0,1
b,0,0,0,0,0,0
a,0,0,0,0,0,1
b,0,0.046939,0,0,0,0
c,0,1,0,0.077197,0,1
b,0,1,0,1,0,1
a,0,1,0,1,0,1
b,0,1,0,0,0,1
a,0,0,0,0,0,0
a,0,0,0,0,0,0
c,0,1,0,1,0,1
b,0,0,0,0,0,1
a,0,0,0,0,0,1
c,0,1,0,1,0,1
a,0,0,0,0,0,0
c,0,1,0,1,0,1
a,0,0,0,0,0,0
c,0,1,0,1,0,0.70075
b,0,0,0,0,0,0
c,0,1,0,1,0,1
c,0,1,0,0.924531,0,0
c,0,1,0,1,0,1
b,0,0,0,0,0,0
a,0,0,0,0,0,1
